pid,tid,searchSeq,timeFromSearch,kind,resultUrl
2,5,0,38014,openCode,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
2,5,0,41394,openCode,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
2,6,0,3968,showProj,https://stackoverflow.com/questions/28143419/express-static-keeps-routing-my-files-from-the-route
2,6,0,3968,showProj,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
2,6,0,3968,showProj,https://stackoverflow.com/questions/58081749/node-express-force-all-static-routes-to-point-to-root-path
2,6,0,3968,showProj,https://stackoverflow.com/questions/42977068/express-serving-static-files-and-routing
2,6,0,3968,showProj,https://stackoverflow.com/questions/69758526/express-static-routes-are-not-working-when-adding-a-validation-middleware
2,6,0,3968,showProj,https://stackoverflow.com/questions/60878869/express-routes-to-serve-directory-of-static-content
2,6,0,3968,showProj,https://stackoverflow.com/questions/36395563/static-routing-in-node-express
2,6,0,3968,showProj,https://stackoverflow.com/questions/66258861/creating-routing-for-a-static-site-using-express
2,6,0,3968,showProj,https://stackoverflow.com/questions/55285668/express-static-doesnt-route-the-static-files
2,6,0,3968,showProj,https://stackoverflow.com/questions/73305912/how-to-add-a-static-route-after-a-dynamic-one-in-expressjs
2,6,0,7158,openPage,https://stackoverflow.com/questions/28143419/express-static-keeps-routing-my-files-from-the-route
2,6,0,92998,closePage,https://stackoverflow.com/questions/28143419/express-static-keeps-routing-my-files-from-the-route
2,6,0,94382,openPage,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
2,6,1,1266,showProj,https://stackoverflow.com/questions/28143419/express-static-keeps-routing-my-files-from-the-route
2,6,1,1266,showProj,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
2,6,1,1266,showProj,https://stackoverflow.com/questions/58081749/node-express-force-all-static-routes-to-point-to-root-path
2,6,1,1266,showProj,https://stackoverflow.com/questions/42977068/express-serving-static-files-and-routing
2,6,1,1266,showProj,https://stackoverflow.com/questions/69758526/express-static-routes-are-not-working-when-adding-a-validation-middleware
2,6,1,1266,showProj,https://stackoverflow.com/questions/60878869/express-routes-to-serve-directory-of-static-content
2,6,1,1266,showProj,https://stackoverflow.com/questions/36395563/static-routing-in-node-express
2,6,1,1267,showProj,https://stackoverflow.com/questions/66258861/creating-routing-for-a-static-site-using-express
2,6,1,1267,showProj,https://stackoverflow.com/questions/55285668/express-static-doesnt-route-the-static-files
2,6,1,1267,showProj,https://stackoverflow.com/questions/73305912/how-to-add-a-static-route-after-a-dynamic-one-in-expressjs
2,6,1,12520,closePage,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
2,6,2,3227,openPage,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
2,6,2,3428,showProj,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
2,6,2,3429,showProj,https://stackoverflow.com/questions/42977068/express-serving-static-files-and-routing
2,6,2,3429,showProj,https://stackoverflow.com/questions/27734164/serve-out-static-route-with-express-with-redirect-and-middleware
2,6,2,3429,showProj,https://stackoverflow.com/questions/58081749/node-express-force-all-static-routes-to-point-to-root-path
2,6,2,3429,showProj,https://stackoverflow.com/questions/69758526/express-static-routes-are-not-working-when-adding-a-validation-middleware
2,6,2,3429,showProj,https://stackoverflow.com/questions/36395563/static-routing-in-node-express
2,6,2,3429,showProj,https://stackoverflow.com/questions/32544846/how-to-set-dynamic-route-for-static-files-in-express
2,6,2,3429,showProj,https://stackoverflow.com/questions/60878869/express-routes-to-serve-directory-of-static-content
2,6,2,3429,showProj,https://stackoverflow.com/questions/66258861/creating-routing-for-a-static-site-using-express
