pid,tid,searchSeq,rank,text
13,6,4,6,"use(string, unknown)"
13,6,4,7,"listen(number, function)"
13,6,4,8,"join(unknown, string)"
13,6,4,9,"on(string, function)"
13,6,5,0,"get(string, function)"
13,6,5,1,Router()
13,6,5,2,"use(string, unknown)"
13,6,5,3,(unknown)
13,6,5,4,"addEventListener(string, function)"
13,6,5,5,"post(string, unknown, function)"
13,6,5,6,serialize()
13,6,5,7,$(string)
13,6,5,8,use(function)
13,6,5,9,withBase(function)
14,2,0,0,T[].sort(function): this
14,2,0,1,sort(function)
14,2,0,2,ObjectConstructor.keys(object): string[]
14,2,0,3,"sortBy(unknown, string)"
14,2,0,4,T[].sort(): this
14,2,0,5,T[].reverse(): T[]
14,2,0,6,"object[].sortBy(string, string)"
14,2,0,7,T[].forEach(function): void
14,2,0,8,sort(typeof compare)
14,2,0,9,reverse()
14,1,0,0,JSON.parse(string)
14,1,0,1,JSON.stringify(unknown): string
14,1,0,2,map(function)
14,1,0,3,T[].map(function): U[]
14,1,0,4,T[].slice(): T[]
14,1,0,5,JSON.stringify(function): string
14,1,0,6,slice()
14,1,0,7,slice(number)
14,1,0,8,T[].push(T[]): number
14,1,0,9,T[].forEach(function): void
14,6,0,0,use(unknown)
14,6,0,1,static(string)
14,6,0,2,static(unknown)
14,6,0,3,"join(unknown, string)"
14,6,0,4,"use(string, unknown)"
14,6,0,5,express()
14,6,0,6,"get(string, function)"
14,6,0,7,listen(number)
14,6,0,8,"listen(number, function)"
14,6,0,9,"use(string, function)"
15,3,1,0,"T[].reduce(function, U): U"
15,3,1,1,T[].find(function): T
15,3,1,2,filter(function)
15,3,1,3,T[].filter(function): T[]
15,3,1,4,find(function)
15,3,1,5,T[].indexOf(T): number
15,3,1,6,T[].some(function): boolean
15,3,1,7,T[].includes(T): boolean
15,3,1,8,"grep(unknown, function)"
15,3,1,9,map(function)
15,1,0,0,JSON.parse(string)
15,1,0,1,JSON.stringify(unknown): string
15,1,0,2,map(function)
15,1,0,3,T[].map(function): U[]
15,1,0,4,T[].slice(): T[]
15,1,0,5,JSON.stringify(function): string
15,1,0,6,slice()
15,1,0,7,slice(number)
15,1,0,8,T[].push(T[]): number
15,1,0,9,T[].forEach(function): void
15,5,0,0,"subtract(number, string)"
15,5,0,1,format(string)
15,5,0,2,moment()
15,5,0,3,"add(number, string)"
15,5,0,4,moment(string)
15,5,0,5,moment(number)
15,5,0,6,Number.toString(): string
15,5,0,7,unix()
15,5,0,8,"subtract(string, number)"
15,5,0,9,toString()
16,2,0,0,T[].sort(function): this
16,2,0,1,sort(function)
16,2,0,2,ObjectConstructor.keys(object): string[]
16,2,0,3,"sortBy(unknown, string)"
16,2,0,4,T[].sort(): this
16,2,0,5,T[].reverse(): T[]
16,2,0,6,"object[].sortBy(string, string)"
16,2,0,7,T[].forEach(function): void
16,2,0,8,sort(typeof compare)
16,2,0,9,reverse()
16,1,0,0,JSON.parse(string)
16,1,0,1,JSON.stringify(unknown): string
16,1,0,2,map(function)
16,1,0,3,T[].map(function): U[]
16,1,0,4,T[].slice(): T[]
16,1,0,5,JSON.stringify(function): string
16,1,0,6,slice()
16,1,0,7,slice(number)
16,1,0,8,T[].push(T[]): number
16,1,0,9,T[].forEach(function): void
16,6,0,0,use(unknown)
16,6,0,1,static(unknown)
16,6,0,2,"join(unknown, string)"
16,6,0,3,"get(string, function)"
16,6,0,4,listen(number)
16,6,0,5,static(string)
16,6,0,6,express()
16,6,0,7,status(number)
16,6,0,8,json(object)
16,6,0,9,"render(string, object)"
16,6,1,0,"use(string, unknown)"
16,6,1,1,static(string)
16,6,1,2,use(unknown)
16,6,1,3,static(unknown)
16,6,1,4,"join(unknown, string)"
16,6,1,5,express()
16,6,1,6,"get(string, function)"
16,6,1,7,listen(number)
16,6,1,8,"use(string, function)"
16,6,1,9,"join(unknown, string, string, string)"
16,6,2,0,"use(string, unknown)"
16,6,2,1,static(string)
16,6,2,2,use(unknown)
16,6,2,3,static(unknown)
16,6,2,4,"join(unknown, string)"
16,6,2,5,express()
16,6,2,6,"get(string, function)"
16,6,2,7,listen(number)
16,6,2,8,"use(string, function)"
16,6,2,9,"join(unknown, string, string, string)"
17,3,0,0,"T[].reduce(function, U): U"
17,3,0,1,T[].find(function): T
17,3,0,2,T[].includes(T): boolean
17,3,0,3,T[].filter(function): T[]
17,3,0,4,T[].indexOf(T): number
17,3,0,5,filter(function)
17,3,0,6,T[].some(function): boolean
17,3,0,7,find(function)
17,3,0,8,T[].findIndex(function): number
17,3,0,9,"grep(unknown, function)"
17,1,0,0,JSON.parse(string)
17,1,0,1,JSON.stringify(unknown): string
17,1,0,2,map(function)
17,1,0,3,T[].map(function): U[]
17,1,0,4,T[].slice(): T[]
17,1,0,5,JSON.stringify(function): string
17,1,0,6,slice()
17,1,0,7,slice(number)
17,1,0,8,T[].push(T[]): number
17,1,0,9,T[].forEach(function): void
17,5,0,0,"subtract(number, string)"
17,5,0,1,format(string)
17,5,0,2,moment()
17,5,0,3,"add(number, string)"
17,5,0,4,diff(unknown)
17,5,0,5,moment(number)
17,5,0,6,"tz(Date, string, string)"
17,5,0,7,local()
17,5,0,8,"subtract(string, number)"
17,5,0,9,duration(unknown)
18,2,0,0,T[].sort(function): this
18,2,0,1,sort(function)
18,2,0,2,ObjectConstructor.keys(object): string[]
18,2,0,3,"sortBy(unknown, string)"
18,2,0,4,T[].sort(): this
18,2,0,5,T[].reverse(): T[]
18,2,0,6,"object[].sortBy(string, string)"
18,2,0,7,T[].forEach(function): void
18,2,0,8,sort(typeof compare)
18,2,0,9,reverse()
18,1,0,0,JSON.parse(string)
18,1,0,1,JSON.stringify(unknown): string
18,1,0,2,map(function)
18,1,0,3,T[].map(function): U[]
18,1,0,4,T[].slice(): T[]
